price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,avg_change,changeCategory
66.169998,66.639999,65.199997,65.470001,11057500,64.584549,12/7/2018,SBUX,-0.016228362,-0.016228429,0.436469568,Even
65.470001,65.800003,64.449997,65.489998,12148300,64.604279,12/10/2018,SBUX,0.000305491,0.000305438,-0.045488621,Even
66.220001,66.919998,65.519997,65.919998,10903100,65.028458,12/11/2018,SBUX,0.006565803,0.006565888,-0.441036796,Even
66,66.93,66,66.129997,11115800,65.235611,12/12/2018,SBUX,0.003185575,0.003185665,-0.369158456,Even
66.290001,67.220001,66.129997,66.910004,10016200,66.005074,12/13/2018,SBUX,0.011795137,0.011795056,-0.875040916,Less
64.440002,65.839996,63.580002,65.339996,16834000,64.456291,12/14/2018,SBUX,-0.023464605,-0.023464473,-0.993952285,Less
65,65.629997,64.080002,64.470001,15143100,63.598072,12/17/2018,SBUX,-0.013314744,-0.013314892,-0.971641015,Less
64.769997,65.400002,64.550003,64.919998,10523500,64.041985,12/18/2018,SBUX,0.006979976,0.006979944,-1.392615403,Less
65.160004,65.900002,63.68,64.059998,14390100,63.193611,12/19/2018,SBUX,-0.013247153,-0.013247074,-0.314866331,Even
63.610001,63.799999,61.450001,62.150002,20264600,61.309444,12/20/2018,SBUX,-0.029815783,-0.029815736,0.338295586,Even
62.310001,63.209999,61.380001,61.389999,23524900,60.559723,12/21/2018,SBUX,-0.012228475,-0.012228527,0.641808354,More
61.48,61.82,60.419998,60.560001,6323300,59.740952,12/24/2018,SBUX,-0.013520059,-0.013520085,1.220480348,More
60.950001,63.23,60.669998,63.080002,16646200,62.226875,12/26/2018,SBUX,0.041611707,0.041611641,0.389458025,Even
62.619999,63.240002,61.619999,63.200001,11308100,62.345245,12/27/2018,SBUX,0.001902233,0.00190233,-0.527080258,Less
63.310001,64.120003,63.169998,63.389999,7711900,62.532677,12/28/2018,SBUX,0.003006356,0.003006297,0.056744879,Even
63.77,64.610001,63.66,64.400002,7689800,63.529015,12/31/2018,SBUX,0.015933078,0.01593316,-0.261507096,Even
63.68,64.370003,63.209999,64.32,10094000,63.4501,1/2/2019,SBUX,-0.001242188,-0.001242267,-0.221093545,Even
63.459999,63.720001,61.400002,61.529999,14390100,60.69783,1/3/2019,SBUX,-0.043376921,-0.043376881,0.743272558,More
62.400002,64.25,62.080002,63.57,12694400,62.710243,1/4/2019,SBUX,0.033154612,0.033154576,0.194462026,Even
63.349998,64.239998,62.740002,63.57,10337600,62.710243,1/7/2019,SBUX,0,0,0.050158608,Even
63.939999,64.290001,63.049999,63.619999,10809700,62.759563,1/8/2019,SBUX,0.000786474,0.000786519,-0.078420623,Even
63.650002,64.040001,62.950001,63.880001,13080300,63.016052,1/9/2019,SBUX,0.004086851,0.004086797,0.062647117,Even
